Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
78274,COVID-19,21,1
78275,Fundraising,105,1
78276,"Children,Family",100,2
78277,"Children,Family,Medical",561,6
78278,COVID-19,100,1
78279,Fundraising,51,1
78280,Fundraising,50,1
78281,Fundraising,50,1
78282,Fundraising,1088,2
78283,Fundraising,55,1
78284,Fundraising,110,1
78285,Fundraising,310,2
78286,COVID-19,200,2
78287,Fundraising,150,2
78288,Fundraising,110,1
78289,COVID-19,205,2
78290,COVID-19,55,1
78291,Registered society,11,1
78292,COVID-19,200,1
78293,Fundraising,200,1
78294,COVID-19,100,1
78295,COVID-19,110,1
78296,Registered society,22,1
78297,COVID-19,22,1
78298,COVID-19,110,1
78299,COVID-19,220,1
78300,COVID-19,220,2
78301,COVID-19,200,1
78302,Charities,53,1
78303,COVID-19,30,1
78304,COVID-19,1260,2
78305,COVID-19,220,1
78306,COVID-19,550,1
78307,"Children,Family,Medical,Single Parents",1100,16
78308,Registered society,110,1
78309,COVID-19,500,1
78310,Registered society,55,1
78311,Registered society,16,1
78312,Fundraising,220,1
78313,COVID-19,440,1
78314,Children,500,1
78315,Fundraising,100,1
78316,Fundraising,55,1
78317,Charities,22,1
78318,Fundraising,55,1
78319,Registered society,40,3
78320,"Children,Families,Fundraising,GIC,Medical,Persons with disabilities",6570,42
78321,Charities,440,2
78322,Registered society,200,1
78323,"Charities,Children,Medical",1050,6
78324,Fundraising,22,1
78325,Registered society,550,1
78326,"Charities,Year end pledge",2200,2
78327,"Charities,Year end pledge",700,2
78328,"Charities,Elderly",600,2
78329,"Amputees,Caregivers,Charities,Children,Elderly,Families,Family,Foreign Domestic Workers,Individual,Medical,Migrant Workers,New Start,Single Parents,Special Needs,Tuition Fees",6180,90
78330,Fundraising,50,1
78331,Fundraising,55,1
78332,"Children,Elderly,Family,Medical,Migrant Workers,Special Needs",561,30
78333,"Charities,Children,Medical",1473,12
78334,Fundraising,55,1
78335,"Charities,Special Needs",600,2
78336,"Giving Circle,Single Parents",600,2
78337,"Charities,Children",600,2
78338,Persons with aphasia,300,1
78339,"Children,Family,Medical",60,6
78340,"Elderly,Medical",600,2
78341,"Charities,Elderly",600,2
78342,"Charities,Special Needs",600,2
78343,"Charities,Children",600,2
78344,Fundraising,110,1
78345,"Charities,Children",600,2
78346,"Charities,Elderly",600,2
78347,"Charities,Children",600,2
78348,New Start,1470,1
78349,"Charities,Special Needs",600,2
78350,"Charities,Elderly",600,2
78351,"Charities,Special Needs",600,2
78352,"Charities,Elderly",1200,2
78353,Children,300,1
78354,"Charities,Children",600,2
78355,"Charities,Elderly",600,2
78356,"Children,Elderly,Family,Medical,Tuition Fees",5000,5
78357,"Charities,Children,Families,Family,New Start,Special Needs,Tuition Fees",21000,7
78358,New Start,1000,1
78359,Children,500,1
78360,"Charities,Children",200,2
78361,"Charities,Children,Family,New Start,Special Needs,Tuition Fees",15000,6
78362,"Fundraising,GIC",2000,2
78363,Fundraising,100,1
78364,"Charities,Children",600,2
78365,"Elderly,Medical",600,2
78366,"Charities,Children,Elderly,Family,Medical",1375,25
78367,"Charities,Children,Elderly,Giving Circle,Special Needs,Women",1980,36
78368,"Fundraising,GIC",600,2
78369,Children,350,1
78370,"Elderly,Medical",600,2
78371,"Charities,Elderly",600,2
78372,Education,40,2
78373,"Charities,Special Needs",600,2
78374,"Charities,Mental Health,Youths",900,3
78375,"Charities,Mental Health,Youths",900,3
78376,"Charities,Mental Health,Youths",900,3
78377,"Caregivers,Charities,Families,Mental Health,Youths",4250,15
78378,"Elderly,Family,Youths",600,3
78379,Fundraising,299,1
78380,"Elderly,Medical",660,2
78381,"Children,Medical",220,4
78382,COVID-19,305,3
78383,"Children,Families",600,2
78384,"Charities,Elderly",2000,2
78385,"Charities,Mental Health,Youths",1500,3
78386,"Elderly,Medical",40,4
78387,COVID-19,110,1
78388,"Charities,Year end pledge",520,2
78389,Education,200,2
78390,"Charities,Children",600,2
78391,Fundraising,110,1
78392,"Charities,Mental Health",1100,2
78393,Medical,321,2
78394,COVID-19,50,1
78395,COVID-19,110,2
78396,"Elderly,Medical,Migrant Workers",66,6
78397,Fundraising,100,1
78398,"Elderly,Medical",100,2
78399,Fundraising,22,1
78400,Charities,900,3
78401,"Amputees,Children,Elderly,Family,Individual,Medical,Migrant Workers,Single Parents,Special Needs,Student",12740,100
78402,Fundraising,110,1
78403,Registered society,356.89,1
78404,"Migrant Workers,Ray of Hope 10th Anniversary",330,2
78405,Fundraising,100,1
78406,Fundraising,210,2
78407,Fundraising,220,1
78408,COVID-19,330,1
78409,COVID-19,110,1
78410,COVID-19,50,1
78411,COVID-19,55,1
78412,COVID-19,110,1
78413,COVID-19,55,1
78414,COVID-19,110,1
78415,"Children,COVID-19,Medical",675,9
78416,COVID-19,110,1
78417,COVID-19,110,1
78418,COVID-19,110,1
78419,"Migrant Workers,Single Parents",730,12
78420,Fundraising,50,1
78421,Fundraising,110,1
78422,Fundraising,100,1
78423,Fundraising,110,1
78424,"Children,Family,Medical,Single Parents",1436,24
78425,Fundraising,110,1
78426,"ADHD,Charities",88,4
78427,Fundraising,330,1
78428,"ADHD,Charities",60,2
78429,"ADHD,Charities",110,2
78430,"ADHD,Charities",110,2
78431,Charities,110,1
78432,"Charities,Children",700,2
78433,Fundraising,110,1
78434,Fundraising,660,1
78435,Charities,220,1
78436,"ADHD,Charities",600,2
78437,"Children,Family,Tuition Fees",33,3
78438,Fundraising,110,1
78439,Fundraising,50,1
78440,Fundraising,105,1
78441,"Charities,Elderly",220,2
78442,Fundraising,220,1
78443,Fundraising,330,1
78444,Fundraising,220,1
78445,Registered society,300,3
78446,Fundraising,110,1
78447,Fundraising,220,1
78448,Fundraising,110,1
78449,Medical,110,1
78450,Fundraising,55,1
78451,Fundraising,110,1
78452,Fundraising,500,1
78453,Education,888,1
78454,Children,55,1
78455,Migrant Workers,1.1,1
78456,Registered society,1550,1
78457,"Giving Circle,Single Parents",600,2
78458,Migrant Workers,3.2,3
78459,"ADHD,Charities",22,2
78460,Registered society,5000,1
78461,"Charities,Children,Elderly,Family,Special Needs,Tuition Fees",10800,30
78462,COVID-19,6600,1
78463,Charities,105,1
78464,"Elderly,Medical",4000,2
78465,"Giving Circle,Single Parents",1000,2
78466,Charities,298,2
78467,"Charities,Year end pledge",660,2
78468,Charities,51,1
78469,Charities,50,1
78470,Registered society,110,1
78471,"Elderly,Medical",220,2
78472,"ADHD,Charities",10,2
78473,New Start,300,1
78474,COVID-19,330,1
78475,Charities,1000,1
78476,COVID-19,50,1
78477,"Charities,Year end pledge",710,2
78478,"Children,Elderly,Medical",729,9
78479,"ADHD,Charities",100,2
78480,Charities,100,1
78481,Charities,88,1
78482,"Elderly,Medical",2.2,2
78483,Fundraising,1100,1
78484,"Elderly,Medical",220,2
78485,Charities,300,1
78486,"Charities,Elderly,Medical,Migrant Workers,Special Needs",1410,10
78487,"Charities,Elderly,Medical",330,6
78488,"ADHD,Charities",26,2
78489,"Children,Family,Single Parents",9888,9
78490,Fundraising,388,1
78491,Fundraising,300,2
78492,Charities,210,2
78493,Charities,500,1
78494,Registered society,410,2
78495,"ADHD,Charities",44,2
78496,Registered society,210,2
78497,Fundraising,208,1
78498,Fundraising,550,1
78499,Fundraising,100,1
78500,Fundraising,110,1
78501,Fundraising,100,1
78502,Fundraising,500,1
78503,Fundraising,999,1
78504,Fundraising,880,2
78505,Fundraising,500,1
78506,Registered society,220,1
78507,Fundraising,440,2
78508,Registered society,110,1
78509,"ADHD,Charities",100,2
78510,"Children,Elderly,Family,Medical",1320,12
78511,"Charities,Children,Education,Family,Student",1500,5
78512,"ADHD,Charities",40,2
78513,Charities,1100,1
78514,COVID-19,55,1
78515,"Charities,Special Needs",600,2
78516,"Charities,Elderly",100,2
78517,Charities,1620,3
78518,Fundraising,110,1
78519,Charities,1000,1
78520,"Fundraising,GIC",600,2
78521,"ADHD,Charities",40,2
78522,Charities,300,1
78523,"Charities,Children,Elderly,New Start",6000,4
78524,"Charities,Children",600,2
78525,Fundraising,100,1
78526,Charities,500,1
78527,Migrant Workers,50,2
78528,Charities,50,1
78529,"Elderly,Medical",110,10
78530,"Charities,Children",600,2
78531,Fundraising,220,1
78532,"Children,Elderly,Medical",750,6
78533,Family,4624.06,2
78534,New Start,300,1
78535,Charities,50,1
78536,"Children,Family,Tuition Fees",660,3
78537,Charities,20,1
78538,COVID-19,50,1
78539,"Children,Elderly,Medical",1800,6
78540,"Charities,Children,Medical",450,6
78541,Fundraising,16.5,1
78542,Charities,110,1
78543,Fundraising,300,1
78544,Charities,11,1
78545,Fundraising,110,1
78546,"Fundraising,GIC",1100,2
78547,Charities,100,1
78548,"Fundraising,GIC",600,2
78549,Charities,300,1
78550,"Charities,Elderly",600,2
78551,Charities,500,1
78552,Fundraising,188,1
78553,Family,300,1
78554,New Start,300,1
78555,"Children,Family,Giving Circle,New Start,Single Parents,Tuition Fees",18000,6
78556,Charities,33,1
78557,Fundraising,380,1
78558,"Charities,Special Needs",100,2
78559,"Fundraising,GIC",600,2
78560,Charities,50,1
78561,"Charities,Children",600,2
78562,Fundraising,220,1
78563,Fundraising,168,1
78564,Family,55,1
78565,Charities,200,1
78566,Charities,55,1
78567,"Charities,Special Needs",50,2
78568,"Elderly,Medical",100,2
78569,Charities,220,1
78570,"Elderly,Youths",1000,2
78571,Charities,500,1
78572,Charities,550,1
78573,Charities,36.3,1
78574,Charities,55,1
78575,Charities,50,1
78576,"Giving Circle,Single Parents",600,2
78577,"Charities,Elderly",600,2
78578,Charities,110,1
78579,"Charities,Children,Elderly,Family,Fundraising,GIC,Tuition Fees",4900,7
78580,"Children,Family,Tuition Fees",900,3
78581,"Charities,Elderly",600,2
78582,Registered society,11,1
78583,Family,55,1
78584,"Elderly,Medical",600,2
78585,Family,300,1
78586,"Charities,Special Needs",5600,2
78587,"Children,Elderly,Medical",210,6
78588,"Migrant Workers,Registered society",220,4
78589,"Charities,Year end pledge",2900,4
78590,"Children,Medical",186,6
78591,"Elderly,Medical",600,2
78592,"Elderly,Medical",400,4
78593,"Charities,Mental Health,Youths",900,3
78594,"ADHD,Charities",600,2
78595,"Foreign Domestic Workers,Migrant Workers",1600,4
78596,"Giving Circle,Women",1000,2
78597,"Elderly,Medical",600,2
78598,"Charities,Children,Elderly,Family,Tuition Fees",4000,10
78599,Family,300,1
78600,"Fundraising,GIC",600,2
78601,Medical,350,1
78602,Medical,300,1
78603,Family,300,1
78604,"ADHD,Charities",600,2
78605,Family,300,1
78606,"ADHD,Charities",100,2
78607,New Start,300,1
78608,"Children,Elderly,Medical",2163,33
78609,"Charities,Elderly",1000,2
78610,Persons with aphasia,400,1
78611,Migrant Workers,11,1
78612,"ADHD,Charities",440,4
78613,"Charities,Children,Medical",465,6
78614,Medical,110,1
78615,"Giving Circle,Single Parents",600,2
78616,Family,300,1
78617,"Charities,Children",600,2
78618,Family,300,1
78619,"Charities,Children",600,2
78620,Persons with aphasia,300,1
78621,"Charities,Children",600,2
78622,"Giving Circle,Single Parents",600,2
78623,Medical,300,1
78624,Medical,300,1
78625,Family,300,1
78626,"Charities,Elderly",1000,2
78627,"Charities,Children",600,2
78628,"Charities,Elderly",600,2
78629,"Charities,Children",600,2
78630,"Charities,Special Needs",600,2
78631,"ADHD,Charities",11,2
78632,"Children,Families",600,2
78633,"Charities,Children,Medical,Mental Health,Youths",812.5,10
78634,"Children,Family,Tuition Fees",300,3
78635,"Elderly,Medical",200,2
78636,"Children,Elderly,Medical",129,6
78637,"Elderly,Medical",440,2
78638,Charities,55,1
78639,Charities,310,1
78640,"Elderly,Medical",22,2
78641,"Fundraising,GIC",1650,2
78642,"Children,Elderly,Family,Medical",420,8
78643,"Elderly,Medical",110,2
78644,"ADHD,Charities,Elderly",450,3
78645,"Charities,Medical,Migrant Workers,Special Needs",576,8
78646,"Elderly,Medical",110,2
78647,"ADHD,Charities",10000,2
78648,"ADHD,Charities",200,2
78649,New Start,300,1
78650,"Charities,Elderly",600,2
78651,Charities,200,1
78652,"Children,Family,Tuition Fees",330,3
78653,"Charities,Mental Health,Youths",1800,6
78654,"Charities,Elderly",600,2
78655,"ADHD,Charities,Elderly,Medical",40,8
78656,"Elderly,Medical",440,2
78657,Charities,110,1
78658,Fundraising,6000,1
78659,"ADHD,Charities,Special Needs",1800,3
78660,Medical,300,1
78661,Medical,55,1
78662,"Charities,Children",600,2
78663,"Charities,Children,Elderly",1800,6
78664,"Charities,Children",600,2
78665,"Children,Special Needs",700,2
78666,"Elderly,Medical",214,4
78667,"Fundraising,GIC",600,2
78668,"Charities,Special Needs",1000,2
78669,"Elderly,Medical",110,2
78670,"Children,Elderly,Medical",126,6
78671,"Elderly,Medical",43,4
78672,"ADHD,Charities",600,2
78673,"Children,Special Needs,Women",60,3
78674,"Children,Family,Medical,Tuition Fees",800,8
78675,"Elderly,Medical",110,2
78676,"Elderly,Medical",110,2
78677,"Children,Elderly,Medical",660,6
78678,Charities,22,1
78679,Charities,20,1
78680,Charities,20,1
78681,Charities,20,1
78682,Charities,22,1
78683,Charities,22,1
78684,Charities,22,1
78685,Charities,100,1
78686,Charities,40,2
78687,Charities,42,2
78688,Charities,42,2
78689,"Charities,Registered society",84,4
78690,Charities,20,1
78691,Charities,50,1
78692,Charities,30,1
78693,Charities,20,1
78694,Charities,20,1
78695,Charities,110,1
78696,Charities,22,1
78697,"Elderly,Medical",110,2
78698,"Charities,Children",600,2
78699,"Elderly,Medical",40,2
78700,"Elderly,Medical",220,2
78701,"Elderly,Medical",310,2
78702,"Elderly,Medical",220,4
78703,"Elderly,Medical",440,2
78704,"Charities,Children",700,2
78705,"Elderly,Medical",110,2
78706,"Elderly,Medical",120,2
78707,"Elderly,Medical",120,2
78708,"Children,Elderly,Medical",630,6
78709,"Elderly,Medical",420,4
78710,"Children,Family,Medical",343.5,9
78711,Charities,50,1
78712,Charities,100,1
78713,Charities,50,1
78714,Charities,22,1
78715,Charities,20,1
78716,"Children,Elderly,Medical",915,6
78717,Charities,50,1
78718,Charities,55,1
78719,Charities,20,1
78720,Charities,20,1
78721,Charities,50,1
78722,Charities,20,1
78723,Charities,20,1
78724,Charities,20,1
78725,Charities,22,1
78726,Charities,22,1
78727,Charities,22,1
78728,Charities,33,1
78729,Charities,22,1
78730,"Elderly,Medical",110,2
78731,"Elderly,Medical",2400,2
78732,"Elderly,Medical",240,2
78733,"Elderly,Medical",80,2
78734,"Elderly,Medical",210,2
78735,"Elderly,Medical",440,2
78736,"Elderly,Medical",100,2
78737,"Elderly,Medical",44,2
78738,"Elderly,Medical",60,2
78739,"Children,Elderly,Medical",780,6
78740,"Elderly,Medical",100,2
78741,"Elderly,Medical",10,2
78742,"Elderly,Medical",22,2
78743,"Elderly,Medical",110,2
78744,"Elderly,Medical",400,4
78745,"Children,Elderly,Family,Medical,Special Needs",1025,5
78746,"Children,Elderly,Medical",306,6
78747,"Elderly,Medical",22,2
78748,"Elderly,Medical",210,2
78749,"Charities,Children,Elderly,Family,Medical,Special Needs",3600,24
78750,"Elderly,Medical",104,2
78751,"Elderly,Medical",20,2
78752,"Elderly,Medical",220,2
78753,"Children,Elderly,Medical",240,6
78754,"Children,Elderly,Medical",396,6
78755,"Elderly,Medical",110,2
78756,"Children,Elderly,Medical",480,9
78757,"Children,Elderly,Family,Medical",660,12
78758,"Elderly,Medical",44,2
78759,"Children,Elderly,Medical",495,6
78760,"Elderly,Medical",60,2
78761,"Elderly,Medical",200,2
78762,"Children,Elderly,Family,Medical,Tchoukball Association",205,20
78763,"Children,Elderly,Medical",135,6
78764,"Elderly,Medical",22,2
78765,"Elderly,Medical",42,2
78766,"Elderly,Medical",4400,2
78767,"Children,Elderly,Medical",1968,9
78768,"Elderly,Medical",10,2
78769,Family,300,1
78770,"Charities,Children",600,2
78771,"Giving Circle,Single Parents",600,2
78772,"Elderly,Medical",210,2
78773,"Elderly,Medical",20,2
78774,"Children,Elderly,Family,Medical",1468,8
78775,"Children,Elderly,Medical",1206,6
78776,"Elderly,Medical",110,2
78777,"Children,Elderly,Medical",630,6
78778,"Elderly,Medical",1100,2
78779,"Elderly,Medical",200,2
78780,"Elderly,Medical",60,2
78781,"Elderly,Medical",220,2
78782,"Children,Elderly,Medical",256.5,6
78783,"Elderly,Medical",220,2
78784,"Charities,Children,Elderly,Medical,Special Needs",3500,15
78785,"Elderly,Medical",44,2
78786,"Elderly,Medical",44,2
78787,"Elderly,Medical",110,2
78788,"Children,Elderly,Medical",600,6
78789,"Children,Elderly,Medical",120,6
78790,"Elderly,Medical",600,2
78791,"Children,Elderly,Medical",495,6
78792,"Charities,Special Needs",600,2
78793,"Elderly,Medical",110,2
78794,"Children,Family,Tuition Fees",315,3
78795,"Children,Elderly,Medical",306,6
78796,"Charities,Children",600,2
78797,"Children,Elderly,Medical",660,6
78798,"Elderly,Medical",44,2
78799,"Elderly,Medical",110,2
78800,"Children,Elderly,Family,Medical",126,16
78801,"Children,Elderly,Medical",396,6
78802,"Elderly,Medical",100,2
78803,"Charities,Children",600,2
